dur=99.68s sr=16000
 t(s)   rms_dB  centroid_kHz  flatness  zcr
 68.5   -14.0        3.21    0.5576  0.632
 69.0   -12.0        1.63    0.3263  0.232
 69.5   -12.2        2.07    0.3640  0.257
 70.0   -11.6        2.13    0.4729  0.295
 70.5   -15.0        2.95    0.3931  0.404
 71.0   -17.6        1.97    0.4670  0.347
 71.5   -19.3        2.30    0.4259  0.392
 72.0   -14.5        2.55    0.4928  0.381
 72.5   -11.1        2.03    0.4110  0.309
 73.0   -12.5        2.92    0.4033  0.332
 73.5   -22.2        1.98    0.4108  0.378
 74.0   -13.8        1.59    0.3707  0.261
 74.5   -15.8        1.56    0.3309  0.268
 75.0   -17.2        1.01    0.1848  0.253
 75.5   -14.3        1.81    0.3678  0.216
 76.0   -15.5        2.66    0.6169  0.435
 76.5   -13.0        1.36    0.2923  0.151
 77.0   -14.5        3.74    0.5194  0.270
 77.5   -16.7        1.43    0.3524  0.177
 78.0   -15.5        1.30    0.3141  0.191
 78.5   -14.7        1.47    0.2563  0.403
 79.0   -14.9        3.25    0.5631  0.533
 79.5   -15.1        4.17    0.4886  0.441
 80.0   -13.7        3.65    0.6284  0.336
 80.5   -16.7        1.79    0.4272  0.260
 81.0   -20.4        2.10    0.5023  0.460
 81.5   -14.1        1.33    0.2930  0.204
 82.0   -11.9        1.34    0.2902  0.168
 82.5   -15.3        3.22    0.5188  0.319
 83.0   -17.6        1.45    0.3025  0.297
 83.5   -17.1        1.51    0.3488  0.389
 84.0   -17.1        2.12    0.4318  0.332
 84.5   -16.2        1.09    0.2361  0.181
 85.0   -17.5        1.60    0.3693  0.119
 85.5   -16.3        1.44    0.3319  0.395
 86.0   -15.5        2.30    0.4944  0.378
 86.5   -11.9        3.39    0.4329  0.531
 87.0   -13.5        2.62    0.4655  0.257
 87.5   -15.4        3.14    0.5213  0.426
 88.0   -14.6        1.30    0.3062  0.204
 88.5   -14.6        1.47    0.3188  0.340
 89.0   -16.9        1.96    0.3941  0.492
 89.5   -13.4        2.05    0.4452  0.438
 90.0   -11.4        0.98    0.2153  0.172
 90.5   -15.0        1.45    0.3535  0.181
 91.0   -14.7        2.00    0.4887  0.403
 91.5   -15.9        1.34    0.3127  0.252
 92.0   -17.1        2.54    0.6021  0.660
 92.5   -22.2        1.62    0.3783  0.389
 93.0   -14.5        1.59    0.3624  0.405
 93.5   -13.5        2.02    0.4395  0.261
 94.0   -14.0        1.42    0.3261  0.186
 94.5   -15.3        4.50    0.5283  0.447
 95.0   -19.4        1.59    0.3724  0.226
 95.5   -12.8        3.11    0.5458  0.380
 96.0   -14.2        1.87    0.4432  0.331
 96.5   -12.5        1.60    0.3741  0.210
 97.0   -16.9        1.52    0.3625  0.339
 97.5   -19.1        2.26    0.5155  0.320
 98.0   -15.4        1.66    0.3885  0.293
 98.5   -15.0        1.39    0.2954  0.196
 99.0   -23.8        3.24    0.6847  0.299
